Año,Sic Distribuidor,Sic Libre,Sing Distribuidor,Sing Libre,Sen Distribuidor,Sen Libre,Total GWh
2000,"  18.350,8 ","  9.290,0 ","  898,6 ","  7.499,4 ","  19.249,4 ","  16.789,4 ","  36.038,9 "
2001,"  19.567,5 ","  9.576,8 ","  945,2 ","  8.045,9 ","  20.512,7 ","  17.622,7 ","  38.135,4 "
2002,"  20.495,1 ","  9.839,6 ","  1.009,2 ","  8.472,7 ","  21.504,3 ","  18.312,3 ","  39.816,6 "
2003,"  21.773,3 ","  10.302,6 ","  1.047,4 ","  9.432,9 ","  22.820,7 ","  19.735,5 ","  42.556,2 "
2004,"  23.514,6 ","  11.088,0 ","  1.075,3 ","  10.164,2 ","  24.589,9 ","  21.252,2 ","  45.842,1 "
2005,"  25.015,4 ","  10.920,1 ","  1.158,8 ","  10.400,8 ","  26.174,1 ","  21.320,9 ","  47.495,0 "
2006,"  26.829,4 ","  11.396,8 ","  1.255,7 ","  10.773,8 ","  28.085,1 ","  22.170,6 ","  50.255,6 "
2007,"  28.381,3 ","  11.582,4 ","  1.331,7 ","  11.342,6 ","  29.713,0 ","  22.925,0 ","  52.638,0 "
2008,"  28.054,5 ","  11.525,7 ","  1.386,8 ","  11.832,1 ","  29.441,3 ","  23.357,9 ","  52.799,2 "
2009,"  28.009,2 ","  11.391,7 ","  1.416,8 ","  12.239,6 ","  29.426,0 ","  23.631,3 ","  53.057,3 "
2010,"  28.919,9 ","  12.141,8 ","  1.495,5 ","  12.296,7 ","  30.415,4 ","  24.438,5 ","  54.853,9 "
2011,"  30.385,8 ","  13.418,5 ","  1.559,6 ","  12.703,3 ","  31.945,4 ","  26.121,8 ","  58.067,2 "
2012,"  32.030,6 ","  14.251,0 ","  1.698,7 ","  13.132,1 ","  33.729,3 ","  27.383,1 ","  61.112,3 "
2013,"  33.510,9 ","  14.266,3 ","  1.821,9 ","  13.591,8 ","  35.332,8 ","  27.858,1 ","  63.190,9 "
2014,"  34.057,4 ","  14.919,6 ","  1.816,0 ","  13.924,2 ","  35.873,5 ","  28.843,9 ","  64.717,3 "
2015,"  34.409,5 ","  15.141,9 ","  1.884,0 ","  15.033,0 ","  36.293,5 ","  30.174,9 ","  66.468,5 "
2016,"  34.563,8 ","  15.892,5 ","  1.901,0 ","  15.059,0 ","  36.464,8 ","  30.951,5 ","  67.416,4 "
2017,,,,,"  33.718,1 ","  34.549,9 ","  68.268,0 "
2018,,,,,"  31.338,3 ","  39.823,7 ","  71.162,0 "
2019,,,,,"  29.331,1 ","  42.220,8 ","  71.551,9 "
2020,,,,,"  28.127,2 ","  43.654,5 ","  71.781,7 "
2021,,,,,"  29.194,3 ","  45.895,8 ","  75.090,1 "
2022,,,,,"  30.776,9 ","  46.266,8 ","  77.043,7 "
2023,,,,,"  30.140,8 ","  47.140,1 ","  77.281,0 "
,,,,,,,
notas:,,,,,,,
(1) datos al 31 de diciembre de cada año,,,,,,,
(2) datos de Ventas de Energía de cada año en GWh.,,,,,,,
(3) Ventas de nov22 y dic22 ,,,,,,,
(4) fuente: https://www.coordinador.cl/mercados/documentos/transferencias-economicas/ventas-mensuales/,,,,,,,
(5) Se estima SEN a partir de la suma de SING y SIC previo a 2017,,,,,,,